会社コード,伝票番号,伝票明細番号,連番,出荷伝票番号,請求伝票番号,出荷先コード,請求先コード
// ヘッダ・明細・詳細1件ずつ
1000,1000000001,1001,1,8000000001,9000000001,CUST001,BILL001
// ヘッダ１件、明細１件、詳細3件
1000,2000000002,2001,1,8000000002,9000000001,CUST001,BILL001
1000,2000000002,2001,2,8000000002,9000000002,CUST002,BILL002
1000,2000000002,2001,3,8000000002,9000000003,CUST003,BILL002
// ヘッダ１件、明細３件、詳細５件
1000,3000000003,3001,1,8000000001,9000000001,CUST001,BILL001
1000,3000000003,3002,1,8000000002,9000000001,CUST001,BILL001
1000,3000000003,3003,1,8000000003,9000000002,CUST002,BILL002
1000,3000000003,3003,2,8000000003,9000000003,CUST003,BILL003
1000,3000000003,3003,3,8000000003,9000000003,CUST003,BILL003
1000,9999999999,9999,999,9999999999,9999999999,CUST999,BILL999
